Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
07-06-2019,0355PM,RepaymentDisbursement_Retained_cashcoll,1,C:\ACorn\jsonPayload\07-06-2019_0355PM\testScenario_for_API__RepaymentDisbursement_Retained_cashcoll1.json,C:\ACorn\jsonOutput\07-06-2019_0355PM\RepaymentDisbursement_Retained_cashcolljsonOutput_1.json,FAIL,Actual response code received is 500
07-06-2019,0355PM,RepaymentDisbursement_Retained_cashcoll,2,C:\ACorn\jsonPayload\07-06-2019_0355PM\testScenario_for_API__RepaymentDisbursement_Retained_cashcoll2.json,C:\ACorn\jsonOutput\07-06-2019_0355PM\RepaymentDisbursement_Retained_cashcolljsonOutput_2.json,PASS,
