Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
20-05-2019,0627PM,BasicRepaymentfew,1,C:\ACorn\jsonPayload\20-05-2019_0626PM\testScenario_for_API__BasicRepaymentfew1.json,C:\ACorn\jsonOutput\20-05-2019_0626PM\BasicRepaymentfewjsonOutput_1.json,FAIL,Actual response code received is 500
20-05-2019,0627PM,BasicRepaymentfew,2,C:\ACorn\jsonPayload\20-05-2019_0626PM\testScenario_for_API__BasicRepaymentfew2.json,C:\ACorn\jsonOutput\20-05-2019_0626PM\BasicRepaymentfewjsonOutput_2.json,FAIL,Actual response code received is 500
20-05-2019,0627PM,BasicRepaymentfew,3,C:\ACorn\jsonPayload\20-05-2019_0626PM\testScenario_for_API__BasicRepaymentfew3.json,C:\ACorn\jsonOutput\20-05-2019_0626PM\BasicRepaymentfewjsonOutput_3.json,FAIL,Actual response code received is 500
