Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
24-05-2019,0128PM,FinalRepayment_completeandmultiplepaid_nextdue,1,C:\ACorn\jsonPayload\24-05-2019_0127PM\testScenario_for_API__FinalRepayment_completeandmultiplepaid_nextdue1.json,C:\ACorn\jsonOutput\24-05-2019_0127PM\FinalRepayment_completeandmultiplepaid_nextduejsonOutput_1.json,FAIL,Actual response code received is 400
24-05-2019,0128PM,FinalRepayment_completeandmultiplepaid_nextdue,2,C:\ACorn\jsonPayload\24-05-2019_0127PM\testScenario_for_API__FinalRepayment_completeandmultiplepaid_nextdue2.json,C:\ACorn\jsonOutput\24-05-2019_0127PM\FinalRepayment_completeandmultiplepaid_nextduejsonOutput_2.json,FAIL,Actual response code received is 400
