Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
23-05-2019,0104PM,BasicREpayment_2ndInstallment,1,C:\ACorn\jsonPayload\23-05-2019_0103PM\testScenario_for_API__BasicREpayment_2ndInstallment1.json,C:\ACorn\jsonOutput\23-05-2019_0103PM\BasicREpayment_2ndInstallmentjsonOutput_1.json,FAIL,|Expected value for data.feeDetails[0].paidAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].actualDueAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].dueAmount is 100 and actual value is 100.0
23-05-2019,0104PM,BasicREpayment_2ndInstallment,2,C:\ACorn\jsonPayload\23-05-2019_0103PM\testScenario_for_API__BasicREpayment_2ndInstallment2.json,C:\ACorn\jsonOutput\23-05-2019_0103PM\BasicREpayment_2ndInstallmentjsonOutput_2.json,FAIL,|Expected value for data.feeDetails[0].paidAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].actualDueAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].dueAmount is 100 and actual value is 100.0
23-05-2019,0104PM,BasicREpayment_2ndInstallment,3,C:\ACorn\jsonPayload\23-05-2019_0103PM\testScenario_for_API__BasicREpayment_2ndInstallment3.json,C:\ACorn\jsonOutput\23-05-2019_0103PM\BasicREpayment_2ndInstallmentjsonOutput_3.json,FAIL,|Expected value for data.feeDetails[0].paidAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].actualDueAmount is 100 and actual value is 100.0|Expected value for data.feeDetails[0].dueAmount is 100 and actual value is 100.0
23-05-2019,0104PM,BasicREpayment_2ndInstallment,4,C:\ACorn\jsonPayload\23-05-2019_0103PM\testScenario_for_API__BasicREpayment_2ndInstallment4.json,C:\ACorn\jsonOutput\23-05-2019_0103PM\BasicREpayment_2ndInstallmentjsonOutput_4.json,PASS,
