Test Execution Date,Execution Time,API Name,Test Scenario Number,JSON Payload,Results JSON File Name,Test Result, Reason For Failure
23-05-2019,1150PM,FinalRepayment_betweentwoInstallment,1,C:\ACorn\jsonPayload\23-05-2019_1149PM\testScenario_for_API__FinalRepayment_betweentwoInstallment1.json,C:\ACorn\jsonOutput\23-05-2019_1149PM\FinalRepayment_betweentwoInstallmentjsonOutput_1.json,FAIL,Actual response code received is 400
23-05-2019,1150PM,FinalRepayment_betweentwoInstallment,2,C:\ACorn\jsonPayload\23-05-2019_1149PM\testScenario_for_API__FinalRepayment_betweentwoInstallment2.json,C:\ACorn\jsonOutput\23-05-2019_1149PM\FinalRepayment_betweentwoInstallmentjsonOutput_2.json,FAIL,Actual response code received is 400
23-05-2019,1150PM,FinalRepayment_betweentwoInstallment,3,C:\ACorn\jsonPayload\23-05-2019_1149PM\testScenario_for_API__FinalRepayment_betweentwoInstallment3.json,C:\ACorn\jsonOutput\23-05-2019_1149PM\FinalRepayment_betweentwoInstallmentjsonOutput_3.json,FAIL,Actual response code received is 400
